stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
420253,420253,ΖΑΛΟΚΩΣΤΑ,Επί της ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ,38.0114375016378,23.7033954766885,0
420254,420254,ΖΑΛΟΚΩΣΤΑ,Επί της ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ,38.0115182137537,23.7032356696946,0
420255,420255,ΓΙΑΝΝΙΤΣΩΝ,Επί της ΓΙΑΝΝΙΤΣΩΝ,38.0020407616906,23.6873960837613,0
420256,420256,ΜΙΣΤΡΙΩΤΟΥ,Επί της ΜΙΣΤΡΙΩΤΟΥ,38.0187508705081,23.6710108163447,0
420257,420257,ΑΛΣΟΣ ΝΕΑΣ ΖΩΗΣ,Επί της ΜΙΣΤΡΙΩΤΟΥ,38.0201758609812,23.6713576256403,0
420258,420258,ΑΓ.ΕΛΕΥΘΕΡΙΟΥ,Επί της ΑΓ.ΕΛΕΥΘΕΡΙΟΥ,38.0202438083107,23.6731004357749,0
420259,420259,ΔΕΡΙΓΝΥ,Επί της ΠΑΛΙΓΓΕΝΕΣΙΑΣ,38.0185692534439,23.6737572544379,0
420260,420260,ΣΤ.ΠΕΡΙΣΤΕΡΙ,Επί της ΠΑΝ.ΤΣΑΛΔΑΡΗ,38.0129411230016,23.6957455364739,0
420268,420268,ΔΩΔΕΚΑΝΗΣΟΥ,Επί της ΔΩΔΕΚΑΝΗΣΟΥ,38.0134136186787,23.6869035101969,0
420269,420269,ΕΚΘΕΣΙΑΚΟ ΚΕΝΤΡΟ,Επί της ΔΩΔΕΚΑΝΗΣΟΥ,38.0173406681508,23.689347575137,0
420270,420270,ΣΤ.ΑΝΘΟΥΠΟΛΗ,Επί της ΑΝΑΠΑΥΣΕΩΣ,38.017092664807,23.6910005222602,0
420277,420277,ΠΡΟΝΟΙΑ,Επί της ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,38.0193633388126,23.6942379276189,0
420286,420286,ΦΛΕΜΙΝΓΚ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0109040293021,23.6991713939579,0
420287,420287,ΚΕΝΤΡΟ ΝΕΟΤΗΤΑΣ,Επί της ΣΑΡΑΝΤΑΠΟΡΟΥ,38.0082029596855,23.6898303857866,0
420288,420288,ΤΑΞΙΑΡΧΗΣ,Επί της ΣΑΡΑΝΤΑΠΟΡΟΥ,38.0109638474684,23.690957900433,0
420485,420485,1η ΑΓ.ΚΗΡΥΚΟΥ,Επί της ΑΓ.ΚΗΡΥΚΟΥ,38.0225770120936,23.6893140772131,0
420490,420490,ΚΑΡΥΣΤΟΥ,Επί της ΤΖΩΝ ΚΕΝΝΕΝΤΥ,38.0133628873632,23.6748511630521,0
420492,420492,ΑΓ.ΤΡΙΑΔΟΣ,Επί της ΑΓ.ΤΡΙΑΔΟΣ,38.0159677671862,23.6716726140697,0
420494,420494,ΣΤ.ΜΕΤΡΟ ΑΓ.ΑΝΤΩΝΙΟΣ,Επί της ΕΘΝΑΡΧΟΥ ΜΑΚΑΡΙΟΥ,38.0060034378935,23.700102673575,0
420495,420495,ΜΕΤΡΟ ΑΝΘΟΥΠΟΛΗ,Επί της ΑΝΑΠΑΥΣΕΩΣ,38.0172095604184,23.6908974995802,0
420496,420496,ΑΦΕΤΗΡΙΑ,Επί της ΚΥΠΡΟΥ,38.0070341634409,23.7013856427206,0
420497,420497,ΜΕΤΡΟ ΑΝΘΟΥΠΟΛΗ,Επί της ΑΝΑΠΑΥΣΕΩΣ,38.0172718403852,23.6905896420288,0
430001,430001,ΚΑΨΗ,Επί της ΠΕΤΡΟΥΠΟΛΕΩΣ,38.0369001215893,23.6934357247962,0
430002,430002,ΦΑΡΜΑΚΕΙΟ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0390941750009,23.6915006846582,0
430003,430003,ΔΗΜΑΡΧΕΙΟ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0406447381773,23.6882235096428,0
430004,430004,ΠΑΛ.ΤΕΡΜΑ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0422306180559,23.6847067226501,0
430005,430005,ΚΑΜΙΝΙΩΤΗ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0430096610339,23.6828229714913,0
430006,430006,7η ΚΗΠΟΥΠΟΛΕΩΣ,Επί της ΝΑΙΑΔΩΝ (ΠΙΝΔΟΥ),38.035152830582,23.6770452979763,0
430007,430007,Κ.ΠΑΛΑΜΑ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0451406297702,23.6776510476498,0
430008,430008,ΓΕΦΥΡΑΚΙ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0443430547196,23.6793184528522,0
430009,430009,ΚΑΜΙΝΙΩΤΗ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0428292850291,23.6827781639351,0
430010,430010,ΠΑΛ.ΤΕΡΜΑ,Επί της 25ης ΜΑΡΤΙΟΥ,38.0416009233024,23.6851538748013,0
