service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-155-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-155-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-162-Δευ-Σαβ-02,1,1,1,1,1,1,0,20161201,20170701
CALEND-164-Καθημερινή-02,1,1,1,1,1,0,0,20161201,20170630
CALEND-164-Κυριακή-01,0,0,0,0,0,0,1,20161204,20170625
CALEND-164-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-165-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-171-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-171-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-171-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-201-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-201-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-201-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-203-204-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-203-204-Κυριακή-10,0,0,0,0,0,0,1,20161204,20170625
CALEND-203-204-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-206-Καθημερινή-14,1,1,1,1,1,0,0,20161201,20170630
CALEND-206-Κυριακή-12,0,0,0,0,0,0,1,20161204,20170625
CALEND-206-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-209-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-209-Κυριακή-11,0,0,0,0,0,0,1,20161204,20170625
CALEND-209-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-212-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-212-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-212-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-217-229-Καθημερινή-16,1,1,1,1,1,0,0,20161201,20170630
CALEND-217-229-Κυριακή-13,0,0,0,0,0,0,1,20161204,20170625
CALEND-217-229-Σάββατο-14,0,0,0,0,0,1,0,20161203,20170701
CALEND-218-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-218-Κυριακή-03,0,0,0,0,0,0,1,20161204,20170625
CALEND-218-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-219-816-Καθημερινή-17,1,1,1,1,1,0,0,20161201,20170630
CALEND-219-816-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-219-816-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-220-221-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-220-221-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-220-221-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-224-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-224-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-224-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-227-Καθημερινή-14,1,1,1,1,1,0,0,20161201,20170630
CALEND-227-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-227-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-230-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-230-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-230-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-235-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-235-Κυριακή-13,0,0,0,0,0,0,1,20161204,20170625
CALEND-235-Σάββατο-13,0,0,0,0,0,1,0,20161203,20170701
CALEND-237-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-237-Κυριακή-10,0,0,0,0,0,0,1,20161204,20170625
CALEND-237-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-242-Καθημερινή-14,1,1,1,1,1,0,0,20161201,20170629
CALEND-242-Παρασκευή-12,0,0,0,0,1,0,0,20161202,20170630
CALEND-250-Καθημερινή-13,1,1,1,1,1,0,0,20161201,20170630
CALEND-300-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-300-Κυριακή-02,0,0,0,0,0,0,1,20161204,20170625
CALEND-300-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-301-324-Καθημερινή-01,1,1,1,1,1,0,0,20161201,20170630
CALEND-301-324-Κυριακή-01,0,0,0,0,0,0,1,20161204,20170625
CALEND-301-324-Σάββατο-01,0,0,0,0,0,1,0,20161203,20170701
CALEND-302-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-302-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-302-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-304-305-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-304-305-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-304-305-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-307-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-307-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-307-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-309-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-309-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-309-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-314-Καθημερινή-15,1,1,1,1,1,0,0,20161201,20170630
CALEND-314-Κυριακή-10,0,0,0,0,0,0,1,20161204,20170625
CALEND-314-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-319-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-319-Κυριακή-10,0,0,0,0,0,0,1,20161204,20170625
CALEND-319-Σάββατο-12,0,0,0,0,0,1,0,20161203,20170701
CALEND-322-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-322-Κυριακή-02,0,0,0,0,0,0,1,20161204,20170625
CALEND-322-Σάββατο-02,0,0,0,0,0,1,0,20161203,20170701
CALEND-323-7-ημέρες-03,1,1,1,1,1,1,1,20161201,20170701
CALEND-402-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
