route_id,route_short_name,route_long_name,route_desc,route_type,route_color, route_text_color
827-20,827,"ΠΕΙΡΑΙΑΣ - Γ΄ ΝΕΚΡΟΤ. - ΑΣΠΡΑ ΧΩΜΑΤΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
828-20,828,"ΠΕΙΡΑΙΑΣ - ΑΣΠΡΑ ΧΩΜΑΤΑ - Γ΄ ΝΕΚΡΟΤ. (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
829-20,829,"ΤΕΙ ΠΕΙΡΑΙΑ - ΣΤ. ΑΙΓΑΛΕΩ - ΤΕΙ ΑΘΗΝΑΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
830-20,830,"ΑΓ. ΒΑΡΒΑΡΑ - ΠΕΙΡΑΙΑΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
831-20,831,"ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ",,3,153CE0,FFFFFF
832-20,832,"ΠΕΙΡΑΙΑΣ - ΕΥΓΕΝΕΙΑ - ΧΑΡΑΥΓΗ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
833-20,833,"ΠΕΙΡΑΙΑΣ - ΧΑΡΑΥΓΗ - ΕΥΓΕΝΕΙΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
836-20,836,"ΠΛ. ΚΟΥΜΟΥΝΔΟΥΡΟΥ - ΠΑΛΑΣΚΑ",,3,153CE0,FFFFFF
837-20,837,"ΑΝΩ ΑΓ. ΒΑΡΒΑΡΑ - ΣΤ.  ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
838-20,838,"ΟΜΟΝΟΙΑ - ΡΕΝΤΗΣ - ΠΑΛ. ΚΟΚΚΙΝΙΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
843-20,843,"ΠΕΙΡΑΙΑΣ - ΠΕΡΑΜΑ",,3,153CE0,FFFFFF
845-20,845,"ΠΕΙΡΑΙΑΣ - ΕΛΕΥΣΙΝΑ (Μέσω ΘΗΒΩΝ)",,3,153CE0,FFFFFF
846-20,846,"ΝΕΑΠΟΛΗ - ΠΕΙΡΑΙΑΣ Α (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
847-20,847,"ΝΕΑΠΟΛΗ - ΠΕΙΡΑΙΑΣ Β (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
852-20,852,"ΝΕΑΠΟΛΗ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
855-20,855,"ΨΑΡΙ - ΑΣΠΡΟΠΥΡΓΟΣ - ΛΟΦΟΣ ΚΥΡΙΛΛΟΥ",,3,153CE0,FFFFFF
856-20,856,"ΑΙΓΑΛΕΩ - ΥΜΗΤΤΟΣ - ΔΑΦΝΗ",,3,153CE0,FFFFFF
859-20,859,"ΠΕΙΡΑΙΑΣ - ΔΕΞΑΜΕΝΕΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
860-20,860,"Π. ΦΑΛΗΡΟ-ΓΕΝ. ΚΡΑΤΙΚΟ ΝΙΚΑΙΑΣ-ΣΧΙΣΤΟ ΚΕΡΑΤΣΙΝΙΟΥ",,3,153CE0,FFFFFF
861-20,861,"ΕΛΕΥΣΙΝΑ - ΜΑΝΔΡΑ (ΟΙΚΙΣΜΟΣ ΤΙΤΑΝ)",,3,153CE0,FFFFFF
862-20,862,"ΠΑΡΑΛΙΑ - ΑΝΩ ΕΛΕΥΣΙΝΑ",,3,153CE0,FFFFFF
863-20,863,"ΕΛΕΥΣΙΝΑ - ΘΡΙΑΣΙΟ ΝΟΣ. - ΜΑΝΔΡΑ",,3,153CE0,FFFFFF
865-20,865,"ΠΛ. ΚΟΥΜΟΥΝΔΟΥΡΟΥ - ΜΑΝΔΡΑ",,3,153CE0,FFFFFF
866-20,866,"ΑΣΠΡΟΠΥΡΓΟΣ - ΣΤ. ΑΓ. ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
871-20,871,"ΠΕΙΡΑΙΑΣ - ΕΛΕΥΣΙΝΑ (Μέσω Λ. ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ)",,3,153CE0,FFFFFF
875-20,875,"ΠΕΙΡΑΙΑΣ - Ν. ΜΩΛΟΣ ΔΡΑΠΕΤΣΩΝΑΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
876-20,876,"ΕΛΕΥΣΙΝΑ - ΣΤ. ΑΓ. ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
881-20,881,"ΕΛΕΥΣΙΝΑ - ΑΣΠΡΟΠΥΡΓΟΣ - ΡΟΥΠΑΚΙ",,3,153CE0,FFFFFF
891-20,891,"ΑΙΓΑΛΕΩ - ΠΕΡΙΣΤΕΡΙ - ΣΤΑΘ. ΑΤΤΙΚΗΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
892-20,892,"ΑΓ. ΒΑΡΒΑΡΑ - ΧΑΪΔΑΡΙ - ΑΓ. ΑΝΑΡΓΥΡΟΙ - ΙΛΙΟΝ",,3,153CE0,FFFFFF
904-20,904,"ΠΛ. ΚΑΡΑΪΣΚΑΚΗ - ΣΤ. ΠΕΙΡΑΙΑ - ΦΡΕΑΤΤΥΔΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
906-20,906,"ΠΛ. ΚΑΡΑΪΣΚΑΚΗ - ΚΑΛΛΙΠΟΛΗ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
909-20,909,"ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ",,3,153CE0,FFFFFF
910-20,910,"ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ - ΤΖΙΤΖΙΦΙΕΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
911-20,911,"ΣΤΑΘ. ΚΑΛΛΙΘΕΑΣ - ΙΔΡ. ΤΥΦΛΩΝ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
914-20,914,"ΟΜΟΝΟΙΑ - ΛΑΧΑΝΑΓΟΡΑ - ΠΑΛ. ΚΟΚΚΙΝΙΑ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
915-20,915,"ΛΟΦΟΣ ΒΩΚΟΥ- ΠΡ.ΗΛΙΑΣ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
Α1-20,Α1,"ΠΕΙΡΑΙΑΣ - ΒΟΥΛΑ",,3,153CE0,FFFFFF
Α10-20,Α10,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ",,3,153CE0,FFFFFF
Α11-20,Α11,"ΠΛ. ΒΑΘΗ - ΙΛΙΟΝ - ΠΕΤΡΟΥΠΟΛΗ (ΜΕΣΩ ΠΑΝΟΡΑΜΑΤΟΣ)",,3,153CE0,FFFFFF
Α13-20,Α13,"ΟΜΟΝΟΙΑ - ΚΗΠΟΥΠΟΛΗ",,3,153CE0,FFFFFF
Α15-20,Α15,"ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ",,3,153CE0,FFFFFF
Α16-20,Α16,"ΠΛ. ΚΟΥΜΟΥΝΔΟΥΡΟΥ - ΕΛΕΥΣΙΝΑ (Μέσω ΙΕΡΑΣ ΟΔΟΥ)",,3,153CE0,FFFFFF
Α2-20,Α2,"ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (Μέσω Λ. ΑΜΦΙΘΕΑΣ)",,3,153CE0,FFFFFF
Α3-20,Α3,"ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ  (Μέσω ΒΟΥΛΙΑΓΜΕΝΗΣ)",,3,153CE0,FFFFFF
Α5-20,Α5,"ΑΚΑΔΗΜΙΑ - ΑΓ. ΠΑΡΑΣΚΕΥΗ - ΑΝΘΟΥΣΑ",,3,153CE0,FFFFFF
Α7-20,Α7,"ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛ.ΠΛΑΤΑΝΟΥ)",,3,153CE0,FFFFFF
Α8-20,Α8,"ΠΟΛΥΤΕΧΝΕΙΟ - Ν. ΙΩΝΙΑ - ΜΑΡΟΥΣΙ",,3,153CE0,FFFFFF
Β1-20,Β1,"ΠΕΙΡΑΙΑΣ - ΑΝΩ ΓΛΥΦΑΔΑ",,3,153CE0,FFFFFF
Β10-20,Β10,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (Μέσω ΑΡΙΣΤΟΤΕΛΟΥΣ)",,3,153CE0,FFFFFF
Β11-20,Β11,"ΠΛ. ΒΑΘΗ - ΙΛΙΟΝ - ΠΕΤΡΟΥΠΟΛΗ",,3,153CE0,FFFFFF
Β12-20,Β12,"ΜΑΡΝΗ - ΑΝΩ ΛΙΟΣΙΑ",,3,153CE0,FFFFFF
Β15-20,Β15,"ΣΤ. ΛΑΡΙΣΗΣ - ΠΑΛΑΤΑΚΙ",,3,153CE0,FFFFFF
Β18-20,Β18,"ΟΜΟΝΟΙΑ - ΠΕΡΑΜΑ (Μέσω Π. ΡΑΛΛΗ)",,3,153CE0,FFFFFF
Β2-20,Β2,"ΑΚΑΔΗΜΙΑ - ΑΓΙΟΣ ΚΟΣΜΑΣ (Μέσω ΠΑΡΑΛΙΑΚΗΣ)",,3,153CE0,FFFFFF
Β5-20,Β5,"ΣΤ. ΛΑΡΙΣΗΣ - Λ. ΑΛΕΞΑΝΔΡΑΣ - ΑΓ. ΠΑΡΑΣΚΕΥΗ",,3,153CE0,FFFFFF
Β9-20,Β9,"ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ",,3,153CE0,FFFFFF
Γ10-20,Γ10,"ΑΝΑΚΑΣΑ - ΑΓ. ΑΝΑΡΓΥΡΟΙ - ΠΛ. ΒΑΘΗ (ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
Γ12-20,Γ12,"ΚΑΜΑΤΕΡΟ - ΑΓ.ΝΙΚΟΛΑΟΣ-ΙΛΙΟΝ - ΠΟΛ/ΧΝΕΙΟ(ΚΥΚΛΙΚΗ)",,3,153CE0,FFFFFF
Γ16-20,Γ16,"ΠΛΑΤΕΙΑ ΚΟΥΜΟΥΝΔΟΥΡΟΥ - ΑΣΠΡΟΠΥΡΓΟΣ",,3,153CE0,FFFFFF
Γ18-20,Γ18,"ΟΜΟΝΟΙΑ - ΠΕΡΑΜΑ (Μέσω ΓΡ. ΛΑΜΠΡΑΚΗ)",,3,153CE0,FFFFFF
Γ9-20,Γ9,"ΧΑΛΚΟΚΟΝΔΥΛΗ - Κ. ΜΥΛΟΣ - ΑΧΑΡΝΑΙ",,3,153CE0,FFFFFF
Ε14-20,Ε14,"ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α - ΥΠ.ΠΑΙΔΕΙΑΣ (EXPRESS)",,3,153CE0,FFFFFF
Ε15-20,Ε15,"ΣΤ. ΛΑΡΙΣΗΣ - ΤΕΙ ΑΘΗΝΩΝ (ΣΧΟΛΙΚΗ  EXPRESS)",,3,153CE0,FFFFFF
Ε90-20,Ε90,"ΠΕΙΡΑΙΑΣ - ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ (ΣΧΟΛΙΚΗ EXPRESS)",,3,153CE0,FFFFFF
Χ14-20,Χ14,"ΣΥΝΤΑΓΜΑ - ΚΗΦΙΣΙΑ",,3,153CE0,FFFFFF
Χ93-20,Χ93,"ΣΤ. ΥΠΕΡ. ΛΕΩΦ. ΚΗΦΙΣΟΥ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS)",,3,153CE0,FFFFFF
Χ95-20,Χ95,"ΣΥΝΤΑΓΜΑ - ΑΕΡΟΛ. ΑΘΗΝΩΝ (EXPRESS)",,3,153CE0,FFFFFF
Χ96-20,Χ96,"ΠΕΙΡΑΙΑΣ - ΑΕΡΟΛ. ΑΘΗΝΩΝ (EXPRESS)",,3,153CE0,FFFFFF
Χ97-20,Χ97,"ΣΤ. ΜΕΤΡΟ ΕΛΛΗΝΙΚΟ - ΑΕΡΟΛ. ΑΘΗΝΩΝ (EXPRESS)",,3,153CE0,FFFFFF
