shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,38.0313276,23.7217846,291
ΑΘΗΝΧΑΛΚ,38.0320272,23.7223967,294
ΑΘΗΝΧΑΛΚ,38.0328291,23.7231043,297
ΑΘΗΝΧΑΛΚ,38.0336039,23.7237894,300
ΑΘΗΝΧΑΛΚ,38.0344708,23.72455,303
ΑΘΗΝΧΑΛΚ,38.0350484,23.7250588,306
ΑΘΗΝΧΑΛΚ,38.035614,23.7255599,309
ΑΘΗΝΧΑΛΚ,38.0358596,23.7257756,312
ΑΘΗΝΧΑΛΚ,38.0360578,23.7259429,315
ΑΘΗΝΧΑΛΚ,38.0362204,23.7260617,318
ΑΘΗΝΧΑΛΚ,38.0364966,23.7262453,321
ΑΘΗΝΧΑΛΚ,38.0367355,23.726381,324
ΑΘΗΝΧΑΛΚ,38.0369886,23.7265052,327
ΑΘΗΝΧΑΛΚ,38.0372124,23.7265999,330
ΑΘΗΝΧΑΛΚ,38.0374484,23.7266831,333
ΑΘΗΝΧΑΛΚ,38.0379777,23.7268432,336
ΑΘΗΝΧΑΛΚ,38.0389272,23.7271699,339
ΑΘΗΝΧΑΛΚ,38.0390199,23.7272083,342
ΑΘΗΝΧΑΛΚ,38.0392136,23.7273039,345
ΑΘΗΝΧΑΛΚ,38.0395594,23.7274563,348
ΑΘΗΝΧΑΛΚ,38.039862,23.7275966,351
ΑΘΗΝΧΑΛΚ,38.0400365,23.7276759,354
ΑΘΗΝΧΑΛΚ,38.0403791,23.7278547,357
ΑΘΗΝΧΑΛΚ,38.0408036,23.7280709,360
ΑΘΗΝΧΑΛΚ,38.0411696,23.7282865,363
ΑΘΗΝΧΑΛΚ,38.0441682,23.7301069,366
ΑΘΗΝΧΑΛΚ,38.0445131,23.7302948,369
ΑΘΗΝΧΑΛΚ,38.0447899,23.7304347,372
ΑΘΗΝΧΑΛΚ,38.0451175,23.7305771,375
ΑΘΗΝΧΑΛΚ,38.0454609,23.7307051,378
ΑΘΗΝΧΑΛΚ,38.045839,23.7308231,381
ΑΘΗΝΧΑΛΚ,38.0461922,23.7309033,384
ΑΘΗΝΧΑΛΚ,38.049762,23.7317043,387
ΑΘΗΝΧΑΛΚ,38.0510967,23.7319881,390
ΑΘΗΝΧΑΛΚ,38.0519648,23.7321854,393
ΑΘΗΝΧΑΛΚ,38.0524295,23.7323034,396
ΑΘΗΝΧΑΛΚ,38.0528625,23.7324107,399
ΑΘΗΝΧΑΛΚ,38.0532807,23.7325099,402
ΑΘΗΝΧΑΛΚ,38.0536693,23.7325958,405
ΑΘΗΝΧΑΛΚ,38.0672929,23.7376291,408
ΑΘΗΝΧΑΛΚ,38.0669118,23.7375404,411
ΑΘΗΝΧΑΛΚ,38.0666548,23.7374678,414
ΑΘΗΝΧΑΛΚ,38.0654769,23.737052,417
ΑΘΗΝΧΑΛΚ,38.0652123,23.7369163,420
ΑΘΗΝΧΑΛΚ,38.0645566,23.7365668,423
ΑΘΗΝΧΑΛΚ,38.0617246,23.7349712,426
ΑΘΗΝΧΑΛΚ,38.0622154,23.7352162,429
ΑΘΗΝΧΑΛΚ,38.0627622,23.7354901,432
ΑΘΗΝΧΑΛΚ,38.0661201,23.7373016,435
ΑΘΗΝΧΑΛΚ,38.0658212,23.7371974,438
ΑΘΗΝΧΑΛΚ,38.0656529,23.737132,441
ΑΘΗΝΧΑΛΚ,38.0654769,23.737052,444
ΑΘΗΝΧΑΛΚ,38.0666548,23.7374678,447
ΑΘΗΝΧΑΛΚ,38.0661201,23.7373016,450
ΑΘΗΝΧΑΛΚ,38.0726999,23.7362137,453
ΑΘΗΝΧΑΛΚ,38.0715915,23.7369037,456
ΑΘΗΝΧΑΛΚ,38.0712616,23.737091,459
ΑΘΗΝΧΑΛΚ,38.0709474,23.7372402,462
ΑΘΗΝΧΑΛΚ,38.070601,23.7373835,465
ΑΘΗΝΧΑΛΚ,38.0702887,23.7375005,468
ΑΘΗΝΧΑΛΚ,38.0699969,23.7375854,471
ΑΘΗΝΧΑΛΚ,38.0696468,23.7376687,474
ΑΘΗΝΧΑΛΚ,38.0693109,23.7377281,477
ΑΘΗΝΧΑΛΚ,38.0688815,23.737773,480
ΑΘΗΝΧΑΛΚ,38.0686438,23.73778,483
ΑΘΗΝΧΑΛΚ,38.068421,23.7377759,486
ΑΘΗΝΧΑΛΚ,38.0682017,23.7377637,489
ΑΘΗΝΧΑΛΚ,38.0679783,23.7377456,492
ΑΘΗΝΧΑΛΚ,38.0677369,23.7377161,495
ΑΘΗΝΧΑΛΚ,38.067505,23.7376759,498
ΑΘΗΝΧΑΛΚ,38.0672929,23.7376291,501
ΑΘΗΝΧΑΛΚ,38.0790139,23.7380164,504
ΑΘΗΝΧΑΛΚ,38.0792729,23.7386393,507
ΑΘΗΝΧΑΛΚ,38.0794543,23.7390697,510
ΑΘΗΝΧΑΛΚ,38.0796343,23.7395034,513
ΑΘΗΝΧΑΛΚ,38.0797545,23.7398054,516
ΑΘΗΝΧΑΛΚ,38.0798461,23.7400476,519
ΑΘΗΝΧΑΛΚ,38.07994,23.7403327,522
ΑΘΗΝΧΑΛΚ,38.080004,23.7405573,525
ΑΘΗΝΧΑΛΚ,38.0800687,23.7407912,528
ΑΘΗΝΧΑΛΚ,38.080126,23.7410339,531
ΑΘΗΝΧΑΛΚ,38.0801777,23.7412984,534
ΑΘΗΝΧΑΛΚ,38.0802208,23.7415722,537
ΑΘΗΝΧΑΛΚ,38.0802589,23.7418575,540
ΑΘΗΝΧΑΛΚ,38.0802879,23.7421544,543
ΑΘΗΝΧΑΛΚ,38.0803103,23.7424502,546
ΑΘΗΝΧΑΛΚ,38.0803194,23.7427387,549
ΑΘΗΝΧΑΛΚ,38.0803277,23.7429956,552
ΑΘΗΝΧΑΛΚ,38.0787287,23.7373343,555
